CALL,CALL,CALL,CALL,CALL,Strike,PUTS,PUTS,PUTS,PUTS,PUTS
OI,COI,volume,Percentage change,LTP,,LTP,Percentage change,volume,COI,OI
139.0,138.02472200097543,26.0,-4.93,541.5,6200,95.4,3.81,1031.0,533.585636739095,534.0
0.0,-0.034845108714100514,0.0,0.6728688068639331,0.050076760017261135,6250,0.5261419517754821,0.7347770533531691,0.0,-0.0871380865150494,0.0
13.0,12.430696717624187,8.0,1.03,472.8,6300,118.3,2.87,786.0,295.34466349362316,296.0
0.0,-0.601312903663394,0.0,0.6547342702932294,0.3162422168784025,6350,116.4,-9.91,22.0,3.457642811715691,4.0
50.0,49.70429182024743,58.0,-3.8,392.4,6400,146.8,2.37,864.0,357.38035521679024,358.0
0.0,-0.5351133745237782,0.0,0.2064955984553427,0.37474625441114906,6450,168.2,2.25,55.0,4.599890400052621,5.0
452.0,451.05174025215285,491.0,0.76,332.0,6500,182.0,2.71,2680.0,1970.7125994321664,1971.0
6.0,5.3544965928219055,4.0,-8.95,290.0,6550,199.4,2.1,20.0,7.570312217095173,8.0
1060.0,1059.4472376119159,2958.0,0.22,273.9,6600,223.1,2.67,3450.0,1356.4231199772084,1357.0
69.0,68.44756040900181,243.0,0.32,250.1,6650,250.0,2.17,207.0,119.40361930002386,120.0
2508.0,2507.704434268821,5425.0,-0.04,222.9,6700,271.5,2.57,2786.0,1198.5424857268636,1199.0
92.0,91.89890083241971,125.0,-0.59,203.5,6750,302.9,7.3,13.0,6.430124303170274,7.0
1909.0,1908.6238778848008,3285.0,-0.45,177.4,6800,325.9,2.45,459.0,332.88332088422635,333.0
40.0,39.14533976562465,78.0,-3.4,156.4,6850,0.34321578127300856,0.6072557219196908,0.0,-0.47601775055211526,0.0
851.0,850.0075075162031,1565.0,-1.0,138.7,6900,390.3,3.23,89.0,78.33901285200629,79.0
4.0,3.2051536180034175,6.0,-7.9,121.2,6950,0.22587353399807908,0.6836026643790443,0.0,-0.3570698005591716,0.0
1678.0,1677.8482186680185,2484.0,-1.73,107.8,7000,459.5,2.04,63.0,144.52145876860897,145.0
1.0,0.5759245906656685,2.0,-12.62,91.4,7050,0.2187870644167309,0.8361719638982942,0.0,-0.16721642771908762,0.0
374.0,373.37792613468764,836.0,-1.08,82.6,7100,525.0,-11.29,1.0,5.462355764524585,6.0
0.0,-0.1026583884510226,0.0,0.9785558796833937,0.11844832412065909,7150,0.48083778692944723,0.904170566284574,0.0,-0.4862835321692953,0.0
330.0,329.3405166877718,473.0,-1.85,63.5,7200,605.0,-5.95,1.0,4.543181455257838,5.0
