CALL,CALL,CALL,CALL,CALL,Strike,PUTS,PUTS,PUTS,PUTS,PUTS
OI,COI,volume,Percentage change,LTP,,LTP,Percentage change,volume,COI,OI
81180.0,11265.0,129585.0,-0.58,1064.4,43500,38.95,-26.16,5866440.0,620730.0,1549455.0
21645.0,1800.0,13260.0,0.84,975.0,43600,47.0,-23.45,2638110.0,206940.0,367740.0
27240.0,-4380.0,32265.0,0.59,889.1,43700,55.55,-23.27,2284800.0,105075.0,330465.0
87225.0,3330.0,104580.0,-0.3,793.1,43800,69.0,-19.25,3892515.0,460365.0,868605.0
86430.0,-21240.0,170010.0,0.22,713.45,43900,83.7,-16.92,2571495.0,30885.0,391215.0
640155.0,-180345.0,1821780.0,0.32,631.95,44000,100.65,-16.68,10789575.0,125100.0,1887015.0
97290.0,-26055.0,382695.0,-1.91,548.0,44100,125.0,-11.94,3810585.0,24750.0,397935.0
148800.0,-59760.0,775620.0,-0.9,481.65,44200,150.0,-11.5,5074395.0,114390.0,633165.0
215910.0,-109155.0,1974765.0,-1.86,414.15,44300,180.7,-9.29,5274390.0,154620.0,582480.0
344130.0,23760.0,2649450.0,-1.5,348.0,44400,218.8,-7.66,6467250.0,216165.0,561030.0
1703400.0,574290.0,12104850.0,-1.56,290.0,44500,258.05,-7.41,17604930.0,758490.0,1682565.0
793680.0,405075.0,8335455.0,-3.24,236.05,44600,306.2,-6.6,8628810.0,294675.0,436590.0
968565.0,538980.0,10814910.0,-3.5,191.9,44700,365.2,-4.27,8657745.0,230205.0,348060.0
1055280.0,654165.0,10419465.0,-3.87,154.0,44800,424.75,-4.43,8046540.0,234225.0,324375.0
731025.0,451335.0,7157355.0,-4.8,120.0,44900,484.8,-4.37,3892125.0,150375.0,188385.0
2328540.0,671805.0,16500645.0,-7.81,92.05,45000,566.4,-3.28,7115355.0,156510.0,756300.0
608820.0,420015.0,5411370.0,-7.98,72.05,45100,642.0,-2.54,665760.0,33660.0,77580.0
986370.0,723225.0,6155715.0,-11.95,54.55,45200,716.95,-3.77,442125.0,33075.0,56850.0
832020.0,597390.0,4969245.0,-21.18,39.25,45300,811.4,-2.34,225870.0,10560.0,35835.0
491565.0,364530.0,3876090.0,-21.98,30.0,45400,896.7,-1.46,91350.0,2220.0,16080.0
1346580.0,508080.0,8388015.0,-23.81,24.0,45500,997.4,-1.78,338910.0,23370.0,169155.0
