NIFTY,BANKNIFTY,FINNIFTY,MIDCPNIFTY,CRUDEOIL,NATURALGAS,CRUDEOILFUT,NATURALGASFUT
24AUG23,24AUG23,22AUG23,21AUG23,15SEP23,24AUG23,21AUG23,28AUG23
31AUG23,31AUG23,29AUG23,28AUG23,17OCT23,22SEP23,19SEP23,26SEP23
