CALL,CALL,CALL,CALL,CALL,Strike,PUTS,PUTS,PUTS,PUTS,PUTS
OI,COI,volume,Percentage change,LTP,,LTP,Percentage change,volume,COI,OI
7550.0,-8850.0,21900.0,-8.95,485.35,18900,0.05,-96.55,28566550.0,-1031200.0,2004250.0
12150.0,-4350.0,15350.0,-9.21,437.1,18950,0.05,-96.88,12603350.0,-825300.0,816450.0
40750.0,-225700.0,692050.0,-11.3,385.0,19000,0.05,-97.22,66535900.0,-2636850.0,4718650.0
16900.0,-3250.0,26500.0,-12.48,335.65,19050,0.05,-97.44,19113700.0,-2274300.0,690800.0
166750.0,-140900.0,688900.0,-17.28,286.7,19100,0.05,-97.67,56302700.0,-2825900.0,3460250.0
126700.0,-15600.0,411650.0,-17.22,236.2,19150,0.05,-97.96,54897300.0,-3945100.0,1944000.0
242400.0,-242250.0,4176800.0,-21.63,186.2,19200,0.05,-98.48,107262550.0,-4778500.0,4582150.0
640250.0,-72550.0,5664050.0,-28.6,136.2,19250,0.05,-98.91,104419850.0,-5700300.0,4674150.0
2472400.0,-557350.0,39125400.0,-39.92,86.6,19300,0.05,-99.39,250400850.0,-3706150.0,9527000.0
3874950.0,797500.0,96151700.0,-63.53,36.6,19350,0.05,-99.67,510282850.0,1139100.0,8801850.0
16742450.0,7931150.0,670442650.0,-99.92,0.05,19400,13.2,-54.09,1353655950.0,-2487200.0,10113450.0
15873500.0,5861450.0,796026650.0,-99.86,0.05,19450,63.2,22.01,735823650.0,248400.0,4578000.0
9970750.0,-3864850.0,850669400.0,-99.74,0.05,19500,113.2,33.89,565629850.0,-1366150.0,1448900.0
7162650.0,-825450.0,609802450.0,-99.45,0.05,19550,162.9,31.37,240694800.0,271350.0,642700.0
9081150.0,-3447900.0,562819950.0,-98.81,0.05,19600,212.7,26.01,124637300.0,-129400.0,429800.0
6412850.0,347100.0,309050800.0,-95.0,0.1,19650,262.45,20.75,26363150.0,210200.0,270750.0
6732400.0,-2513100.0,211110800.0,-95.83,0.05,19700,313.0,17.29,14743300.0,37150.0,216400.0
3075750.0,572450.0,104980200.0,-90.0,0.1,19750,361.8,14.8,1886600.0,24600.0,54350.0
6535350.0,1152850.0,96941650.0,-94.44,0.05,19800,412.8,13.03,1470750.0,-25250.0,67650.0
2994850.0,631800.0,37029300.0,-93.75,0.05,19850,460.45,10.3,110550.0,3750.0,14400.0
4296350.0,1023500.0,49177700.0,-93.75,0.05,19900,512.75,9.73,108900.0,-25500.0,10100.0
