CALL,CALL,CALL,CALL,CALL,Strike,PUTS,PUTS,PUTS,PUTS,PUTS
OI,COI,volume,Percentage change,LTP,,LTP,Percentage change,volume,COI,OI
0.0,0.0,0.0,0.0,0.0,150,0.05,0.0,11.0,262.0,262.0
0.0,0.0,0.0,0.0,0.0,155,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,160,0.0,0.0,0.0,113.0,113.0
0.0,0.0,0.0,0.0,0.0,165,0.05,0.0,5.0,207.0,207.0
67.0,67.0,138.0,7.16,39.65,170,0.05,0.0,87.0,572.0,572.0
0.0,0.0,0.0,0.0,0.0,175,0.05,0.0,8.0,215.0,215.0
27.0,27.0,36.0,2.28,29.2,180,0.05,0.0,36.0,1615.0,1615.0
1.0,1.0,2.0,-16.14,18.45,185,0.05,0.0,52.0,490.0,490.0
95.0,95.0,893.0,13.92,20.05,190,0.05,-50.0,2643.0,2362.0,2362.0
48.0,48.0,2323.0,23.87,15.05,195,0.05,-66.67,19226.0,2181.0,2181.0
770.0,770.0,61257.0,29.03,10.0,200,0.05,-90.0,72844.0,4461.0,4461.0
570.0,570.0,62777.0,34.21,5.1,205,0.05,-96.77,46934.0,1902.0,1902.0
1092.0,1092.0,89176.0,-96.88,0.05,210,0.05,-98.84,78805.0,1480.0,1480.0
4132.0,4132.0,38281.0,-93.33,0.05,215,5.0,-41.18,9483.0,723.0,723.0
9003.0,9003.0,15969.0,-87.5,0.05,220,9.8,-25.19,10241.0,1572.0,1572.0
4251.0,4251.0,4316.0,-75.0,0.05,225,15.25,-15.04,1009.0,339.0,339.0
6739.0,6739.0,4365.0,-66.67,0.05,230,20.1,-11.84,1278.0,575.0,575.0
2926.0,2926.0,668.0,-50.0,0.05,235,25.45,-11.01,188.0,170.0,170.0
5050.0,5050.0,2998.0,-50.0,0.05,240,30.45,-7.73,666.0,155.0,155.0
1234.0,1234.0,453.0,0.0,0.05,245,35.25,0.28,45.0,57.0,57.0
5807.0,5807.0,1682.0,0.0,0.05,250,40.2,-4.96,476.0,47.0,47.0
