CALL,CALL,CALL,CALL,CALL,Strike,PUTS,PUTS,PUTS,PUTS,PUTS
OI,COI,volume,Percentage change,LTP,,LTP,Percentage change,volume,COI,OI
0.0,0.0,0.0,32.99,294.5,8550,40.2,-82.06,0.0,0.0,0.0
0.0,0.0,0.0,31.36,275.4,8575,46.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,29.56,256.85,8600,52.4,-79.08,0.0,0.0,0.0
150.0,0.0,0.0,0.0,160.75,8625,59.45,0.0,0.0,0.0,0.0
450.0,0.0,0.0,0.0,189.95,8650,23.95,-45.81,450.0,0.0,4575.0
600.0,0.0,0.0,0.0,178.55,8675,159.4,0.0,0.0,0.0,150.0
525.0,150.0,450.0,0.7,150.2,8700,45.0,-15.17,3375.0,375.0,6150.0
0.0,0.0,0.0,-5.29,86.0,8725,188.95,0.0,0.0,0.0,75.0
2475.0,150.0,1500.0,26.27,138.9,8750,58.0,-18.25,75.0,0.0,2400.0
375.0,-225.0,1125.0,7.07,100.65,8775,68.0,-16.05,1125.0,-525.0,1350.0
2400.0,1500.0,9900.0,-1.51,85.0,8800,99.0,7.84,21300.0,9375.0,10500.0
1500.0,1275.0,3075.0,8.23,80.9,8825,81.2,-54.89,1350.0,600.0,675.0
375.0,375.0,900.0,-44.06,60.05,8850,92.0,-77.45,1050.0,525.0,525.0
75.0,75.0,150.0,-22.06,78.25,8875,169.7,-60.15,0.0,0.0,0.0
0.0,0.0,0.0,-4.1,89.95,8900,184.8,-58.38,0.0,0.0,0.0
2100.0,300.0,525.0,17.25,52.0,8925,200.65,-56.66,0.0,0.0,0.0
1875.0,1800.0,12300.0,2.0,30.6,8950,217.15,-54.92,0.0,0.0,0.0
0.0,0.0,0.0,-15.1,64.65,8975,234.3,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-18.9,57.5,9000,252.15,-51.55,0.0,0.0,0.0
0.0,0.0,0.0,0.0,51.4,9025,270.95,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,45.15,9050,289.65,0.0,0.0,0.0,0.0
